chart_position,release_date,track_name,track_id,popularity,duration_ms,track_number,artists,album_name,album_url,track_url,genre,extraction_date
1,2024-11-22,luther (with sza),45J4avUb9Ni0bnETYaYFVJ,91,177598,3,"Kendrick Lamar, SZA",GNX,https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ,hip hop,2025-05-27
2,2025-02-07,Ordinary,6qqrTXSdwiJaq8SO0X2lSe,96,186964,1,Alex Warren,Ordinary,https://open.spotify.com/album/6xomx5ekO7qHDvDh57rZ5S,https://open.spotify.com/track/6qqrTXSdwiJaq8SO0X2lSe,Unknown,2025-05-27
3,2024-08-16,Die With A Smile,2plbrEY59IikOBgBGLjaoe,98,251667,1,"Lady Gaga, Bruno Mars",Die With A Smile,https://open.spotify.com/album/10FLjwfpbxLmW8c25Xyc2N,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,art pop,2025-05-27
4,2025-02-14,NOKIA,2u9S9JJ6hTZS3Vf22HOZKg,94,241023,14,Drake,$ome $exy $ongs 4 U,https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR,https://open.spotify.com/track/2u9S9JJ6hTZS3Vf22HOZKg,rap,2025-05-27
5,2024-04-12,A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,88,171291,1,Shaboozey,A Bar Song (Tipsy),https://open.spotify.com/album/6egBeCLeGITzGSo5VyRjwZ,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,Unknown,2025-05-27
6,2023-09-22,Pink Pony Club,1k2pQc5i348DCHwbn5KTdc,89,258034,11,Chappell Roan,The Rise and Fall of a Midwest Princess,https://open.spotify.com/album/0EiI8ylL0FmWWpgHVTsZjZ,https://open.spotify.com/track/1k2pQc5i348DCHwbn5KTdc,Unknown,2025-05-27
7,2023-06-23,Lose Control,6usohdchdzW9oML7VC4Uhk,85,210688,1,Teddy Swims,Lose Control,https://open.spotify.com/album/5QMiub2LonMqxB7dhtbPlX,https://open.spotify.com/track/6usohdchdzW9oML7VC4Uhk,Unknown,2025-05-27
8,2025-01-31,I'm The Problem,3HlWVKwU0JqJXqJK9DWHnZ,87,177811,1,Morgan Wallen,I'm The Problem,https://open.spotify.com/album/0mc2gCpCL7rXvz6HGR6evD,https://open.spotify.com/track/3HlWVKwU0JqJXqJK9DWHnZ,country,2025-05-27
9,2024-01-18,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,89,180304,1,Benson Boone,Beautiful Things,https://open.spotify.com/album/29aSKB1qPEbN0Qf9OPSQpw,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9,Unknown,2025-05-27
10,2025-03-05,Anxiety,1musbempyJAw5gfSKZHXP9,92,249302,1,Doechii,Anxiety,https://open.spotify.com/album/706mYHElAsR2MfcehZt2PA,https://open.spotify.com/track/1musbempyJAw5gfSKZHXP9,Unknown,2025-05-27
11,2025-04-04,All The Way (feat. Bailey Zimmerman),73kIKvg65QWieOKXIwyLJP,87,165000,1,"BigXthaPlug, Bailey Zimmerman",All The Way (feat. Bailey Zimmerman),https://open.spotify.com/album/6ySeR2u4QyfkeZBVL4yORh,https://open.spotify.com/track/73kIKvg65QWieOKXIwyLJP,southern hip hop,2025-05-27
12,2024-05-17,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,100,210373,4,Billie Eilish,HIT ME HARD AND SOFT,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,Unknown,2025-05-27
13,2025-03-21,Just In Case,02Ya2Q08bBKFqUJvjmyRXK,88,166206,1,Morgan Wallen,Just In Case,https://open.spotify.com/album/1LgijIY2d3GFKb5bhWYOf4,https://open.spotify.com/track/02Ya2Q08bBKFqUJvjmyRXK,country,2025-05-27
14,2024-05-10,I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP,85,178205,1,"Post Malone, Morgan Wallen",I Had Some Help,https://open.spotify.com/album/1woYXxyyxTQJ0E0AhZE6mj,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,Unknown,2025-05-27
15,2024-08-09,MUTT,1mh9eHVRdNhzryG43PXdW1,82,193333,1,Leon Thomas,MUTT,https://open.spotify.com/album/0b64yYszabe2wxhG1PiSQo,https://open.spotify.com/track/1mh9eHVRdNhzryG43PXdW1,Unknown,2025-05-27
16,2024-10-18,That’s So True,7ne4VBA60CxGM75vw0EYad,97,166300,15,Gracie Abrams,The Secret of Us (Deluxe),https://open.spotify.com/album/0hBRqPYPXhr1RkTDG3n4Mk,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,Unknown,2025-05-27
17,2024-10-18,Love Somebody,7hR22TOX3RorxJPcsz5Wbo,87,204828,1,Morgan Wallen,Love Somebody,https://open.spotify.com/album/0TxewlKVKdpP18dGg279ep,https://open.spotify.com/track/7hR22TOX3RorxJPcsz5Wbo,country,2025-05-27
18,2025-04-11,Blue Strips,7u7IqryLFAygWFz6bsEB7y,88,147209,1,Jessie Murph,Blue Strips,https://open.spotify.com/album/38Vd2K3RytxtNWLE5aU2VR,https://open.spotify.com/track/7u7IqryLFAygWFz6bsEB7y,Unknown,2025-05-27
19,2024-04-12,Espresso,2qSkIjg1o9h3YT9RAgYN75,90,175459,1,Sabrina Carpenter,Espresso,https://open.spotify.com/album/5quMTd5zeI9yW5UDua8wS4,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,Unknown,2025-05-27
